测试用例ID,功能模块,测试场景,优先级,测试类型,执行状态,测试结果,测试日期,测试人员,缺陷ID,备注,重测次数,最后更新
TC-BASE64-001,Base64编解码,基本字符串编码,P0,功能测试,待执行,未测试,,,,,0,
TC-BASE64-002,Base64编解码,基本字符串解码,P0,功能测试,待执行,未测试,,,,,0,
TC-BASE64-003,Base64编解码,批量编码多个单元格,P1,功能测试,待执行,未测试,,,,,0,
TC-BASE64-004,Base64编解码,不同字符集参数,P1,功能测试,待执行,未测试,,,,,0,
TC-BASE64-005,Base64编解码,异常输入处理,P1,异常测试,待执行,未测试,,,,,0,
TC-COMPARE-001,表格对比,两个表格基本对比,P0,功能测试,待执行,未测试,,,,,0,
TC-COMPARE-002,表格对比,识别修改的数据,P0,功能测试,待执行,未测试,,,,,0,
TC-COMPARE-003,表格对比,识别新增的数据,P0,功能测试,待执行,未测试,,,,,0,
TC-COMPARE-004,表格对比,识别删除的数据,P0,功能测试,待执行,未测试,,,,,0,
TC-COMPARE-005,表格对比,识别表头变更,P1,功能测试,待执行,未测试,,,,,0,
TC-COMPARE-006,表格对比,大量数据对比性能,P1,性能测试,待执行,未测试,,,,,0,
TC-COMPARE-007,表格对比,防止对比结果表作为源表,P1,功能测试,待执行,未测试,,,,,0,
TC-COMPARE-008,表格对比,缓存清理和数据更新,P2,功能测试,待执行,未测试,,,,,0,
TC-MERGE-001,表格合并,基本合并操作,P0,功能测试,待执行,未测试,,,,,0,
TC-MERGE-002,表格合并,自动检测ID列,P0,功能测试,待执行,未测试,,,,,0,
TC-MERGE-003,表格合并,数据冲突检测,P0,功能测试,待执行,未测试,,,,,0,
TC-MERGE-004,表格合并,基于基准值的智能合并,P1,功能测试,待执行,未测试,,,,,0,
TC-MERGE-005,表格合并,合并前预览,P1,功能测试,待执行,未测试,,,,,0,
TC-MERGE-006,表格合并,大量数据合并,P1,性能测试,待执行,未测试,,,,,0,
TC-MERGE-007,表格合并,处理删除的数据,P1,功能测试,待执行,未测试,,,,,0,
TC-ID-001,ID冲突检查,检测重复ID,P0,功能测试,待执行,未测试,,,,,0,
TC-ID-002,ID冲突检查,检查不同表格间的ID冲突,P0,功能测试,待执行,未测试,,,,,0,
TC-ID-003,ID冲突检查,编辑时实时检测,P1,功能测试,待执行,未测试,,,,,0,
TC-ID-004,ID冲突检查,修改冲突ID后解除标记,P1,功能测试,待执行,未测试,,,,,0,
TC-ID-005,ID冲突检查,清空ID值,P1,功能测试,待执行,未测试,,,,,0,
TC-ID-006,ID冲突检查,识别包含_INT_id后缀的列,P1,功能测试,待执行,未测试,,,,,0,
TC-TRIGGER-001,触发器管理,首次安装触发器,P0,功能测试,待执行,未测试,,,,,0,
TC-TRIGGER-002,触发器管理,处理权限不足,P1,功能测试,待执行,未测试,,,,,0,
TC-TRIGGER-003,触发器管理,编辑单元格触发ID检查,P0,集成测试,待执行,未测试,,,,,0,
TC-TRIGGER-004,触发器管理,卸载时清理触发器,P1,功能测试,待执行,未测试,,,,,0,
TC-CACHE-001,缓存管理,表格信息缓存功能,P1,性能测试,待执行,未测试,,,,,0,
TC-CACHE-002,缓存管理,缓存自动过期,P2,功能测试,待执行,未测试,,,,,0,
TC-CACHE-003,缓存管理,手动清理缓存,P2,功能测试,待执行,未测试,,,,,0,
TC-NOTE-001,注释管理,添加系统级注释,P1,功能测试,待执行,未测试,,,,,0,
TC-NOTE-002,注释管理,读取系统级注释,P1,功能测试,待执行,未测试,,,,,0,
TC-NOTE-003,注释管理,不同类型注释的隔离,P1,功能测试,待执行,未测试,,,,,0,
TC-UI-001,用户界面,对比配置对话框,P1,UI测试,待执行,未测试,,,,,0,
TC-UI-002,用户界面,合并配置对话框,P1,UI测试,待执行,未测试,,,,,0,
TC-UI-003,用户界面,错误信息友好显示,P1,UI测试,待执行,未测试,,,,,0,
TC-INTEGRATION-001,集成测试,端到端工作流程,P0,集成测试,待执行,未测试,,,,,0,
TC-INTEGRATION-002,集成测试,多用户同时操作,P1,集成测试,待执行,未测试,,,,,0,
TC-BOUNDARY-001,边界测试,空表格处理,P2,异常测试,待执行,未测试,,,,,0,
TC-BOUNDARY-002,边界测试,超大表格处理,P2,性能测试,待执行,未测试,,,,,0,
TC-BOUNDARY-003,边界测试,特殊字符处理,P2,异常测试,待执行,未测试,,,,,0,
TC-EXCEPTION-001,异常测试,网络异常,P2,异常测试,待执行,未测试,,,,,0,
TC-EXCEPTION-002,异常测试,权限异常,P2,异常测试,待执行,未测试,,,,,0,
TC-EXCEPTION-003,异常测试,数据格式异常,P2,异常测试,待执行,未测试,,,,,0,
